-431, 122, 120
-398, 240, -37
-398, 240, -37
-294, 165, -24
-178, -4, 144
-144, -129, 141
-266, -171, 83
-327, -129, 201
-345, -89, 499
-501, -71, 824
-501, -71, 824
-730, 248, 1304
-889, 598, 1711
-941, 743, 1961
-946, 880, 1980
-889, 984, 1952
-779, 961, 1872
-660, 910, 1674
-578, 855, 1384
-507, 812, 1228
-507, 812, 1228
-447, 780, 1120
-387, 707, 1039
-321, 633, 985
-281, 541, 879
-297, 403, 766
-342, 237, 642
-380, 48, 517
-380, 48, 517
-376, -200, 438
-387, -532, 493
-432, -929, 569
-476, -1152, 670
-529, -1174, 804
-618, -1080, 958
-725, -933, 1019
-808, -797, 1053
-886, -655, 1122
-949, -495, 1161
-997, -293, 1184
-1012, -114, 1252
-1005, -31, 1242
-1002, -24, 1167
-999, -41, 1107
-966, 5, 1077
-966, 5, 1077
-909, -4, 1039
-882, -53, 985
-866, 66, 910
-783, 215, 732
-661, 352, 490
-661, 352, 490
-638, 202, -77
-492, 97, 53
-364, 78, 249
-348, 141, 53
-348, 141, 53
-338, 104, -169
-300, 2, -143
-308, -35, -12
-386, -128, 163
-507, -164, 246
-584, -162, 152
-632, -243, 202
-715, -368, 373
-715, -368, 373
-804, -386, 513
-861, -347, 570
-869, -369, 606
-861, -443, 616
-881, -501, 618
-907, -406, 676
-873, -251, 730
-820, -163, 730
-764, -87, 678
-764, -87, 678
-713, 17, 648
-650, 207, 665
-617, 482, 646
-598, 685, 572
-588, 783, 549
-,-,-
-439, 198, 98
-422, 188, 16
-422, 188, 16
-350, 101, 113
-296, -42, 218
-266, -162, 190
-262, -240, 219
-264, -189, 409
-281, -76, 595
-281, -76, 595
-319, -10, 790
-483, 122, 1081
-654, 335, 1307
-709, 499, 1450
-705, 646, 1583
-803, 823, 1693
-823, 907, 1772
-775, 883, 1756
-663, 819, 1691
-663, 819, 1691
-544, 755, 1539
-484, 741, 1346
-450, 742, 1191
-397, 719, 1062
-342, 642, 913
-297, 571, 841
-290, 519, 800
-303, 415, 722
-303, 415, 722
-297, 233, 630
-281, 45, 604
-310, -114, 586
-342, -395, 543
-349, -778, 594
-377, -1074, 724
-452, -1170, 867
-516, -1195, 993
-581, -1187, 1109
-656, -1093, 1188
-755, -964, 1210
-827, -778, 1223
-859, -575, 1245
-892, -387, 1284
-907, -262, 1269
-907, -262, 1194
-908, -189, 1194
-895, -103, 1133
-854, -39, 1049
-797, -38, 1013
-738, -22, 894
-735, 92, 721
-698, 206, 703
-601, 200, 532
-506, 229, 265
-506, 229, 265
-523, 187, -199
-470, 177, -216
-320, -33, 245
-279, -79, 217
-357, 21, -42
-433, 12, -2
-433, 12, -2
-444, -102, 181
-469, -236, 264
-559, -332, 316
-695, -378, 427
-766, -384, 541
-763, -409, 684
-786, -457, 786
-828, -485, 793
-828, -485, 793
-819, -553, 728
-796, -589, 688
-786, -455, 719
-770, -313, 679
-716, -244, 564
-658, -136, 509
-625, 127, 511
-574, 444, 587
-533, 764, 644
-533, 764, 644
-543, 1008, 647
-,-,-
-587, 84, 233
-493, 75, 316
-493, 75, 316
-435, 205, 83
-396, 206, -71
-334, 106, 0
-304, -15, 119
-261, -130, 240
-261, -130, 240
-212, -76, 382
-295, 75, 645
-459, 211, 999
-600, 368, 1232
-667, 475, 1435
-709, 518, 1648
-751, 546, 1748
-729, 548, 1841
-729, 548, 1841
-676, 553, 1917
-598, 555, 1856
-520, 586, 1705
-469, 609, 1529
-435, 617, 1369
-406, 626, 1232
-374, 632, 1091
-345, 576, 991
-335, 489, 895
-335, 489, 895
-333, 410, 761
-313, 326, 609
-326, 165, 492
-362, -24, 405
-374, -252, 407
-369, -490, 466
-388, -696, 621
-388, -696, 621
-442, -864, 823
-497, -970, 967
-553, -984, 1084
-651, -903, 1165
-762, -749, 1203
-840, -586, 1219
-866, -431, 1273
-870, -287, 1306
-852, -194, 1254
-840, -152, 1133
-900, -79, 1020
-928, 19, 1013
-830, 49, 1037
-757, 102, 959
-757, 102, 959
-739, 200, 845
-717, 204, 631
-664, 128, 448
-602, 87, 311
-545, 163, 183
-467, 107, 139
-467, 107, 139
-340, -162, 235
-296, -270, 194
-333, -254, 190
-402, -236, 254
-467, -255, 358
-512, -299, 376
-537, -417, 296
-588, -533, 331
-689, -509, 437
-689, -509, 437
-804, -396, 492
-838, -357, 521
-805, -373, 551
-768, -385, 565
-718, -345, 559
-667, -267, 509
-628, -116, 498
-570, 87, 568
-542, 389, 642
-542, 389, 642
-600, 760, 681
-649, 972, 753
